css-1m051bw,css-qgunke,css-1fnccdf,css-1fnccdf 2,css-chan6m,raw__09f24__T4Ezm,css-1fnccdf 3,css-1lr1m88,css-1lr1m88 2,,,,,,,
Cristian A.,"Montrose, Houston, TX",0,1,1/26/2022,"This facility is great. Super friendly and fast at getting you treatment. Dr. Leavitt, ER tech techs Lee, Anastia, and front desk, Leslie.  Thank you for helping me mom!",,1,,,,,,,,
Samar H.,"Houston, TX",1,11,12/22/2020,I called them to get information. They have a central number and I had 32 person in front of me. Wstimated time was 12 minutes. I hang up after 20 minutes of holding and still having 12 peron in front of me and 12 minutes estimated wait time.For un urgent care that's very slow.I will not be going there.,,1,Business Owner,"Hi Samar. Due to unusual patient volume and a severe shortage of medical personnel our front-line medical team is experiencing unprecedented wait time. We are tirelessly working towards providing better care for our community. We sincerely apologize for any delay in care you may have experienced. We aim to make sure that everyone leaves our emergency room feeling better and without complications. We'd like to invite you to email our medical director so we can better understand the situation and review procedures with our team. If you would please email  with your full name, date of service and location of service so that he can review your file and reach out to you, we would appreciate it. Thank you for the review -- we take all comments and reviews very seriously.",Read more,,,,,
Vanessa R.,"Galena Park, TX",0,1,6/20/2021,"I want to thank the staff starting with registration Lizzie for getting me back so quickly. I want to also thank my nurses Keri and Kaitlyn, my techs Anastasia and  Eve and most of all the best doctor you could ask for Dr. Yusuf. I came in so much pain that had been going on for hours and they all took great care of me, very attentive, and always coming in constantly to check on me to make sure my pain was doing better and if I needed anything. I highly recommend you all come here they will definitely take great care of you and make sure you leave feeling a lot better.",,,,,,,,,,
Terra B.,"Clear Lake City, Houston, TX",0,2,6/9/2021,"Dr. Yusuf, Jacqueline, Leslie, Jamel, and Sala were all wonderful! Seen immediately and taken well care of. Thank you so much!",,,,,,,,,,
Kayla P.,"South Side, Houston, TX",0,2,12/29/2019,"Nobody ever reached out to me. It's obvious they don't really care about their negligence. The ultrasound technician I pray that she is fired. How after 2 ultrasounds she did not detect an ectopic pregnancy??????? Did she really graduate or someone took the classes for her? Women's hospital of Texas helped me the BEST! Their ultrasound technician detected the ectopic pregnancy immediately and informed my OB/GYN of her findings. You all are paying for advertising but in fact this facility at SignatureCare need to be reported. Stole money from my insurance and didn't take care of me properly. I'm disgusted, agitated, and embarrassed for going the 2nd time.",,1,2/6/2019,"I walked in SignatureCare Montrose location on December 27, 2018 complaining of pain on my lower right quadrant and spotting. Front desk Kiera greeted me and gathered all of my information so that I could be seen by the doctors in the back. I was escorted to the back by a nurse that took my blood pressure and temperature. (Dr. Amanda N.) came in to get some insight on what was going on. She told me that she would need some urine analysis, blood analysis, and an ultrasound would be ordered to figure out what what going on. They told me I was pregnant and I had ovarian cysts on my ovaries. My HCG level was 317. I was instructed to follow up with them or an OB/GYN in 48 hours to make sure my HCG levels doubled. I returned December 30, 2018 still in pain with heavier bleeding than the first visit. The doctor on staff (Dr. Ofer F.) thought I was experiencing a miscarriage but wanted to repeat the same methods from the first visit (urine analysis, blood analysis, and ultrasound). The Ultrasound technician came in stating she had been at work all day and she was ready to go home, she was coughing, and seemed very uninterested being there. The doctor informed me that my HCG level had dropped to 203 so they believed I was threatening miscarriage. They discharged me and told me to follow up with my OB/GYN again. On 01/07/2019 I had my first visit with my OB/GYN at Complete Women's Health Center. They were more compassionate, helpful, and worked hard to figure out the REAL issue(Dr. McIntosh). I was in so much pain that my doctor ordered me to be transferred to the ER at the Women's Hospital of Texas in a wheelchair. They did ONE ultrasound and figured out a misdiagnosis that SignatureCare provided. I was experiencing an Ectopic Pregnancy grown to 5cm in my right Fallopian tube. I had emergency laparoscopic surgery done 30 minutes after my ultrasound. I currently only have one Fallopian tube and my chances for another pregnancy is lowered. SignatureCare is the worst so please do not waste your time or money going there. They only care about getting paid by your insurance they really don't care about finding the real issue of your visit. One of the doctors called me last week questioning me about a survey that I completed before leaving on December 30, 2018. They deserved the negative survey plus more in my eyes. PLEASE STAY FAR AWAY FROM THIS PLACE. I don't want you to experience the same pain I have.",Read more,,,,,
Brit M.,"Houston, TX",4,75,7/31/2017,"I've only been to the ER once in my entire life,  and the one time I went I chose SignatureCare.  This was the cleanest, most friendly, and attentative ER! They quickly tried to find out what was wrong with me and tried their best to make sure I was comfortable. Well, they could not figure out what was wrong with me and ended up transferring me to a different ER which was a DEATH TRAP.I really wish they could have diagnosed me correctly and treated me at SignatureCare instead of transferring me to another ER.",35,,,,,,,,,
Victor O.,"South Main, Houston, TX",0,1,7/30/2019,"This was my first visit here, and the entire staff was amazing! Leslie in the front was amazing she got me situated in no time. The nurses called me in, in less than 5 minutes! Jacq and Churiah were amazing as well they got everything set up and attended to all my needs before meeting with the doctor. I had the pleasure to meet Dr. Dang and he was absolutely phenomenal he treated me like family I will always recommend him to anybody!",,,,,,,,,,
Gerland B.,"Pasadena, CA",1,2,5/5/2019,"Came here for my kidney stones and was taken care in such a great way! The staff was super friendly and helpful and made a bad experience much better!Would definitely recommend anyone to come here if you want to get a treatment where you feel heard and safe.Dr. Patel, Gracie and Amy made the process enjoyable and effortless.10/10",,,,,,,,,,
Jinha B.,"Pasadena, CA",0,4,5/5/2019,"I had a little accident where i got my finger stuck between a steel wheel on a gate. Amy took such good care in getting me checked in, while i was still in shock from pain. Dr.Patel and Gracie(RN) was so amazing in calming me down and getting me all fixed up in less than 10min!The best ER in town and will be coming back for any future emergency.Thank you signature care team!",2,,,,,,,,,
Tikya T.,"Houston, TX",216,12,9/26/2018,"Although the service was descent I have an issue with the front desk person who gave me false information. When I first walked into the establishment I asked were they in network with my insurance and the lady told me yes... fast forward to 2 months later a get a bill for over $30,000 from my insurance because guess what... They were not in network with my insurance... Now yes I did sign the palate to accept financial responsibility of my visit but I was under the impression that I was just paying what my insurance would not cover.... Completely unacceptable, will I return based on this situation NO! Be careful when making sure they are covered with your insurance because they will just lie to you and take your money!",9,4,Business Manager,"We sincerely apologize for the customer service you received at SignatureCare during your visit. We aim to make sure that everyone leaves our emergency room without complications. We also understand that insurance can be tricky to navigate and regret the problems you are having with your bill. We'd like to invite you to speak with our billing specialist so he can review your file and come up with a solution. I am going to send you a PM with his contact info. Again, we apologize for the miscommunication but hope you will give us a chance to make this right with you.",Read more,,,,,
Dominique O.,"Houston, TX",70,8,2/27/2020,"I was not the patient on this visit. However, my wife needed immediate help and they did just that. Cared for her very quickly and had great bedside manner. They addressed all of our concerns and questions. They were also all really personable, friendly, and polite from registration with Itza, the RN Dawn, ER Tech Olivia, the RAD Tech Jacque, and of course, Dr. Akunyili was amazing.",2,,,,,,,,,
Ghufran A.,"Tampa, FL",4,2,4/19/2019,"Gina my friends nurse, Dr. Souman, Dion, and Amy all helped very nicely! I recommend to anyone.",,,,,,,,,,
Travis J.,"Houston, TX",9,2,12/11/2016,"GOT AN EXTRA $1300 DOLLARS LYING AROUND? OF COURSE YOU DO!!!BUT DOES BURNING IT IN THE GARBAGE SOUND LIKE IT'S WORTH THE HASSLE?! OF COURSE NOT!!!Who has the time to stress about THE FASTEST way to be swindled out of cash when THIS place is open? Like many of you, I'm without costly health insurance, and not because of the price-tag, but because it's SO MUCH FUN!I've had chronic cough & flu symptoms for few weeks, and even after finishing a round of antibiotics, the symptoms still haven't gone away. In fact, they're bad enough that I tried to have them treated at 4am on a Saturday, because WHAT ELSE WOULD I BE DOING?Inside the attractive facilities, an EXTREMELY friendly staff was prompt and courteous (especially the sleeping security guard...he had an intensely calming effect), but when I didn't have $1300 for x-rays I was suddenly informed that this was ""no longer an emergency,"" and there was NOTHING they could do. Given the astonishing medical breakthroughs in recent years (for instance cataract-melting steroids, a re-engineered polio virus that treats cancer, and the world's FIRST SUCCESSFUL PENIS TRANSPLANT), you can imagine my surprise! But as I said (and in case you forgot), the helpful, attentive staff and I were LITERALLY OUT OF OPTIONS.Since I was prepared to spend up to $500 or say even $750 dollars on tests or treatment (on the off-chance I'd receive say, oh I don't know, some free baby-aspirin, a brochure on Christian Science, or maybe even some lukewarm tap water), I asked if there were any possible alternatives. The smiling associate went to check and while waiting I overhead some nurses openly discussing how much more money they made on the weekends. This got me thinking: GEE, I REALLY SHOULD HAVE MORE MONEY THAN I DO. SHOULDA BEEN A NURSE I GUESS!!!Sadly, all I could do was leave kicking myself, processing the harsh reality that not having thirteen individual one hundred dollar bills for ghost pictures of my insides wasn't just my fault, it was MY MISTAKE.So what's the ""take-away"" here? Well for starters, DON'T BE POOR. Basically that. Requiring ""urgent care"" or ""medical attention"" isn't for you to decide, especially because it doesn't have anything to do with your actual health. And secondly, if you ARE poor (over even upper middle-class!) then there's probably nothing physically wrong with you. And finally, spend less time (basically none) when you're sick trying to do anything about it. You'd be wise to focus what little energy and strength you DO actually have on finding, getting, and having more money. Because at SignatureCare Emergency Center, being alive isn't just not affordable, it's inconvenient, and we can't expect them to lie to us for free. HAPPY HOLIDAYS!",,2,Business Owner,"We are sorry to hear that you were unhappy with our billing processes. We'd like to get more information about your experience. Can you email our billing manager at  with your full name, date of service and location of service so that he can review your file? We will then reach out to you to discuss. Thank you for the chance to make this right with you, and for taking the time to let us know how we are doing. We take your reviews and concerns very seriously.",Read more,,,,,
Rob R.,"Montrose, Houston, TX",30,2,4/13/2019,I was not prepared today to have an accident but it happened. So I found SignatureCare ER using maps app and came in to get my wound fixed up. The staff especially Dr. Sylvester and nurses Laura and Amy made me feel at home and got me fixed up very quickly and professionally.  I felt at home.  I even got walked to me car :).,,,,,,,,,,
Jessica A.,"Pearland, TX",1,2,11/23/2019,"The owners reached out to me after my review to follow-up with my concerns with genuine sympathy.  I may not visit this particular location anymore, but the fact that 2 people took the time out of their day to contact me meant a lot.",,,9/30/2019,"The nurse Agnes/Jessica(Russian woman with red hair) has an intrusive bedside manner that I did not care for. She asked me the same question many different times to the point where I thought she was an imbecile or partially deaf. She also lied to the treating physician about what I said, which further irritated me. Luckily, I'm well versed in ignoring repetitive sounds long enough to accomplish my intended goals. I did like the doctor-Lauren Leavitt; she was quite capable of articulating herself without repetition in a clear, concise manner. Nevertheless, I won't EVER return, and will definitely ensure my friends & family stay away from this location as well.",Read more,,,,,
Patricia L.,"Houston, TX",0,2,8/23/2019,"I visited here over a year ago with my daughter in the middle of the night when she had a UTI and was in excruciating pain. We now received 2 bills from here only today: one for $1700 and one for $500. None of it was covered by insurance(as all was applied to her deductible). She was charged $300 for a pregnancy test she did not know of, after she had told the doctor there was absolutely no chance she was pregnant. On top of these high charges, she did not even receive the proper antibiotics and the infection came back less than a month later, being told by her physician that this was a resurgence from the first after not receiving the prescription she needed. I called today and was told that she was treated how the doctor saw fitting. I would not recommend going here to anyone. And IUPDATE:After discussing my concerns with another person at this agency, they agreed to revise the bill and did not charge me for the service. My recommendation is to use anything labeled ""Emergency Room"" only in a life threatening situation and seek out an Urgent Care facility if your doctor's office is otherwise closed. I appreciate this facility for listening to my complaints and concerns.",,,7/17/2019,"I visited here over a year ago with my daughter in the middle of the night when she had a UTI and was in excruciating pain. We now received 2 bills from here only today: one for $1700 and one for $500. None of it was covered by insurance(as all was applied to her deductible). She was charged $300 for a pregnancy test she did not know of, after she had told the doctor there was absolutely no chance she was pregnant. On top of these high charges, she did not even receive the proper antibiotics and the infection came back less than a month later, being told by her physician that this was a resurgence from the first after not receiving the prescription she needed. I called today and was told that she was treated how the doctor saw fitting. I would not recommend going here to anyone.",Read more,,,,,
Deborah O.,"Kearneysville, WV",87,1,11/15/2019,"Was inpatient here for a day and everything from registration with Leslie to Doctor Do and nurse Churiah taking care of me was excellent. Both of the techs Olivia and Eve were very hospitable and made me comfortable in the best way possible. Hands down, the best place for quick and awesome treatment. Will be back in the future!",,,,,,,,,,
Alexandra W.,"Calgary, Canada",1,7,12/3/2017,"I came here after a week of being sick. Went to 2 doctors and they said i had a ""common cold"".. it was not a common cold. Came to this ER and i was immediately hooked up to vital fluids. I ended up being incredibly malnourished and dehydrated. Very dangerous. I lost 10 lbs (im a 90 lb girl) so it was VERY dangerous for me. Im there for 5 hours and i already feel 80% back to normal. Love this place, will ALWAYS go here.",1,1,,,,,,,,
Julie B.,"Houston, TX",1,61,6/22/2019,"The bills arrive about a year after you visit and leave you broke.  I will never go again.  I went in for a spider bite.  The Dr never even examined me.  She walked in the room looked at it from 5' away and said, ""yes, you were bit by something"". For that I have been billed $1,800.  It was 15 minutes.  The icing on the cake was the bill for the ice pack they never gave me.",,,2/13/2019,Read your bill very carefully. It may not arrive for over a year.  I just received one for services delivered over a year ago and they billed for services not delivered.,Read more,,,,,
Mariana Y.,"Houston, TX",282,41,2/14/2018,"Dr. Smith took care of my infected finger quickly and painlessly. Gave me options for treatment which I appreciated. When I walked in on a Wednesday morning had zero wait, was able to finish paperwork in the room rather than in waiting room. The nurses were kind and offering me a warm blanket and a beverage which was a nice touch. Doctor also explained the follow up instructions to me and told me what to expect/watch out for. Facility is clean and inviting. What is nice is they can accommodate pretty much anything an ER attached to a hospital can. I would definitely recommend if you need to be seen by a doctor. Bonus that it's 24/7!",6,,,,,,,,,
Erica O.,"Houston, TX",660,5,12/18/2018,"I went to Signature Care on 12/15/18 for an eye injury. Once I got to the emergency room there was no wait and I was seen in about 2 minutes after being in the waiting area. My nurse Hamzah J A was AMAZING!!!! After going through such a traumatic experience, he made me feel comfortable, safe, and not embarrassed. After telling him about my job interview he even gave me tips on how to email my interviewer and explain what's going on. I was also offered a heated blanket and water while I rested and waited for the lab info to come back. The doctor and lab tech were also so compassionate, careful, and amazing as well! I will never go to another emergency room after having such an amazing experience here. The next day Hamzah J A also called to check in on me and see how I was doing. Signature Care is AMAZING!!!",5,,,,,,,,,
Deirdre Y.,"Bridge City, TX",91,3,8/18/2016,"Best staff and facility to be seen at! Front desk offered directions and was very helpful. I was feeling horrible with pain and a stomach bug but within minutes they had me back to normal. Usually when offered a ""warm"" blanket at other places it's not but the one that they offered was very warm.",2,,,,,,,,,
Chi N.,"Houston, TX",0,4,8/6/2017,"This is an Emergency Room. I made the mistake thinking it was an urgent care.  Urgent care you pay less, your copay is also less. I came here with a light cold . Ended up with a 100 copay instead of my 35 copay at urgent care. And my insurance was billed an additional $1000 for 5 minutes of care.  Just be aware you will get charged ER rate at this facility. I also did not ask for my copay in advance, nor did they tell me in advance.  So it's my fault.. but I feel like they should tell you the copay in advance if you are utilizing insurance.",,2,,,,,,,,
S G.,"Houston, TX",0,16,1/9/2019,"Charging practices are insane!!  Over $1,000 emergency room charge just to be seen.  Never again!!  All they did was write me a prescription for an antibiotic, which they can not distribute so it is off to the 24 hr pharmacy. I have Anthem Blue Cross and my insurance company rejected the charge.  Now I have to start the process of getting them to fix this.  Absolutely INSANE!!  This is a clinic NOT a full service hospital.",3,2,Business Manager,"Thank you for your feedback. We take it extremely seriously. SignatureCare Emergency Center is actually a freestanding emergency room, and not just a clinic, but regardless, we don't want you to have these billing frustrations! I am going to send you a PM with the contact information of our billing director who will be able to help you straighten this out. If you could email him, he will reach out to you and help. We want all of our patients to be 100% satisfied with their experience with us, so please give us the chance to work this out with you. We appreciate your feedback and your help.",Read more,,,,,
Monique R.,"Golfcrest/Belfort/Reveille, Houston, TX",3,20,2/23/2017,"I love it here. They took me in immediately, were extremely attentive and detailed and in the best moods even though it was the night shift. I came here before for my boyfriend and they were exactly the same. I prefer this place over the hospital any and every day.",3,,,,,,,,,
Wendy E.,"Houston, TX",21,17,8/14/2016,"I could not have had a better experience with this hospital! The lady at the front desk, Tory, was extremely helpful in answering all of my questions and offered me a warm blanket and snacks/beverages. She was so sweet and even spoke to be about ways I could obtain health insurance for the future. There was NO wait at all! After signing in, I was immediately brought into the back where a handsome nurse came and spoke to me. He was very kind and professional. The doctor was in shortly after and gave me a thorough exam before prescribing me enough meds needed until I could get into my doctor on Monday. When leaving, I found my husband in an immaculately clean waiting room where he was playing an arcade machine and drinking fresh coffee! There was a mini fridge loaded with an assortment of beverages and a basket filled with snacks for the family to help themselves to while waiting. I'd also like to add that I do not have insurance and the price of my visit was the same as if I were to go to my regular doctor! I was expecting to pay a lot...nope!I HIGHLY recommend anyone seeking immediate medical attention go to this place to be treated.",5,1,,,,,,,,
Aislyn E.,"Central Business District, Houston, TX",242,2,4/8/2019,"Amazing care from the start, Amy the receptionist was very kind and walked me through everything . RN Gina was very sweet and attentive. Dr.Ngozi took very good care of me. I would highly recommend this place to everyone!",,,,,,,,,,
Andrea B.,"New York, NY",0,2,1/12/2018,"I am disappointed in my care here.  I went in last week.  The physician on call was condescending and dismissive toward my issue.  Not only am I a doctor, but I have had this illness before.  Not only did I get the wrong diagnosis, but I was also denied the medication I needed.  I ended up going to another doctor later in the week.  Got the right diagnosis.  Slowly working toward recovery.  Then on top of the negative experience, when a person is leaving the ER, they don't care to stop and fill out a customer service evaluation.  If I were sick enough to come to the ER, I doubt I am well enough to fill out your form on my way out.  Horrible timing.",1,,Business Manager,"We apologize that you didn't have a perfect experience at SignatureCare. We strive to make our entire patient base feel like VIPs and give them the best care possible. We would love to discuss this incident with you and get more details so we can make sure it doesn't happen again. Can you please email  with your full name, date of service and location of service, and we will get back with you to discuss your case in detail. Thank you for your feedback. We take it very seriously.",Read more,,,,,
Lily Z.,"Chicago, IL",0,10,1/9/2018,I cannot speak highly enough of the medical care I received at SignatureCare...I told everyone that it felt like I was at the luxury spa version of an ER. Dr. Singla was so calm and took all of my pain seriously. The nurses and various specialists were SO. KIND. and kept my boyfriend and I entertained through all the stress of having a stomach virus in a city we were just visiting for the weekend. Thank you for everything!!,,,,,,,,,,
Angel M.,"Houston, TX",5,1,3/5/2017,The greeter Terra was on point! Handed her my license and insurance card filled out a small half sheet of paper. And within 5 min I was already in a room! Shelli the nurse made me feel at home 3 min tops I was getting my blood pressure checked and temperature. Dr Craig came and diagnosed and within 10 min procedure started. It was very painful but he had a lot of patience. The total visit was over within 45 min!!!!!! Wow amazed!!!!,,,,,,,,,,
Tanya M.,"Houston, TX",1,2,6/19/2017,"I have been to this location twice now for two entirely different issues and both times it was exactly what I needed.  Got in quick, didn't have a million forms to fill out, extremely knowledgeable and helpful staff from Mercy at intake, Jeff the nurse, to Dr. Edozie.  I have gone to other places (Walgreens Clinic and MedSpring Urgent Care) and my experience is always terrible! If it isn't a long wait, then the staff is plain terrible, and with my insurance I don't think I pay much more, if any, to go to this ER clinic over those.",,,,,,,,,,
Rob C.,"Houston, TX",0,2,6/18/2017,"Clean, friendly, and thorough.  I checked in and walked out in under an hour.  Great place and will use again (if needed).",,,,,,,,,,
Cassie B.,"Houston, TX",193,26,10/28/2016,"This place was great. I was greater by Angela, who was so nice and eased my anxiety about being there. I waited no longer than 2 minutes before I was taken back to a room. Both nurses that I interacted with were calming, nice and funny. I never felt scared or anxious while in there. Dr. Asem was thorough and direct, which I appreciated. This will be my go-to if I ever need an emergency center again.",12,,,,,,,,,
Cayla L.,"Houston, TX",3,5,2/17/2017,"I came here about a month ago after I broke my leg. For being in pain I sure did have a great experience! Everyone here was extremely nice and the place was super clean inside. Plus the staff was all super attractive which is always a plus . I actually found myself saying "" I need to come here more often"" when I left lol. They even sent me a card in the mail a couple of days later. Anyways if you are ever in a position to go to the hospital, I would definitely recommend this location!",2,,,,,,,,,
Ruthie C.,"Southeast Houston, Houston, TX",57,3,3/27/2017,"My first time here.  Excellent customer service.  From the time I walked through the door to check in, patient escort, nurse, and Dr. Grinblatas was the best.  X-ray tech was great.  I can go on and on about the service I received.  This is why I gave this place a 5*****rating.",,,,,,,,,,
Colby H.,"Houston, TX",1,7,6/5/2016,"The service was extremely professional. Alyssa was very welcoming and had a great smile. Jesse was very helpful and kept me calm, even though I thought I was ""dying.""  Turns out, I wasn't haha",3,,Business Employee,"We aim for 100% satisfaction at SignatureCare Emergency Center. Thank you for your feedback, I will pass it along to our team!",Read more,,,,,
Blake M.,"Houston, TX",0,1,2/11/2017,"If you want exceptional care when you need it fast, then this is the place to come. Marie, Sindy, and Adam all made the chopping off of my fingertip a fun experience. In and out and very affordable copays.",,,,,,,,,,
Rosendo C.,"Galveston, TX",18,11,8/20/2016,Virtually no wait time! The nurses were awesome. I got to watch tv in the room while I was attended to.,4,,,,,,,,,
Ekin E.,"Brooklyn, NY",0,3,8/20/2016,"I was very sick last night with the symptoms of a severe cold (turns out it's bronchitis), when I needed to go to Signature Care. My overall experience was great. The facility is clean, modern and the people were extremely helpful. There was no wait time to be admitted and the doctor and two nurses were with me right away. Dr. Boester gave me a realistic outlook about how long it will take for me to get better, which is what I expect from a good doctor. He was also friendly, and answered my questions in the best way possible. Marie, the nurse, was nice and careful through the treatment (getting a shot and a nasal treatment). The most importantly, I woke up in the morning feeling a million times better! I will go on with my treatment at home. Thanks SignatureCare!",,,,,,,,,,
Jay B.,"League City, TX",0,21,10/13/2018,"The staff is so polite, the building is always clean, it doesn't take very long to get in/out. The appointment alone is $175, I believe, but if you are in desperate need of an ER, I would go here. They give you accommodations such as water and a warm blanket while you are waiting to be seen. It is as comfortable as any ER could possily be.",5,,,,,,,,,
Jessica R.,"Midtown, Houston, TX",9,5,2/17/2016,Great place to get checked. I came here after I was in a minor car accident and everyone was very helpful in explaining both my physical procedure and how everything would work with the insurance company. Excellent staff!,,,,,,,,,,
Rhonda W.,"Houston, TX",0,1,1/22/2017,Very polite from the time I walk to the desk and was greeted by Tory. Before I could finish my paperwork I was called to the back. Dr Chen and the nurses were very attentive. I highly recommend this location. According to my husband the snacks are great.,,,,,,,,,,
Rebecca M.,"Houston, TX",235,32,8/6/2016,"This was the cleanest, most modern, newest, nicest ER I have ever been to. It looks like it was brand new but it's been open for two years. When we arrived, we were the only ones in the waiting room which honestly was so nice to see since I'm use to packed ERs with 4 hour waits just to check in. We arrived around 3 and we're checked in by 315. The front desk staff was very friendly and professional in helping us find out the charge with our insurance. The front desk staff was very friendly and professional in helping us find out the charge with our insurance. Our technician was Jason and he was very nice and relatable. Dr. Bansal was very professional and knowledgeable. He explained what he believed it was and then answered all our questions when the results came in. We were admitted at about 315 and we're out around 515. They said they were very busy and all the rooms were full, but we did not hear any noise or any signs of chaos. I actually thought it wasn't busy until I overhead a nurse saying all the rooms were full. They hold their composure very well and it was a very smooth visit. We were in the finding Nemo room (pediatrics) and even though we aren't kids; I really enjoyed the light-hearted theme. We were asked by several different staff if we needed anything throughout the time we were there. If I ever need to go to an ER again, I will be going here.",26,,,,,,,,,
Gabrielle A.,"Gulfton, Houston, TX",14,7,2/7/2016,"You can't find another ER that will go above and beyond for its patients like the doctors and nurses do here. There was no wait time, quick access to X-ray and CT, and the staff genuinely cares about the patients. Even once discharged from the ER, Dr. Braun and RN Melissa still willingly went out of their way to follow up and listen to any concerns and help set up appointments with necessary specialists which otherwise could've taken weeks.",34,,,,,,,,,
Alie D.,"Inglewood, CA",0,19,2/8/2017,"Quick and easy. The receptionist, Tory was very helpful. All of the nurses and doctors we're very friendly. Beautiful and clean facility, would definitely recommend!",9,,,,,,,,,
Kaeli B.,"Spring, TX",1,2,10/30/2017,Overall great experience! No wait time and all staff was extremely polite and welcoming. Would definitely recommend this center to a friend!,,,,,,,,,,
Dania K.,"South Central Houston, Houston, TX",0,1,9/25/2017,"Dr. Boester was very kind and helpful in assisting my hurt arm. He made the whole process easier, with the whole staff being very accommodating and very hospitable. I would recommend a visit here, great experience!",,,,,,,,,,
Ori M.,"Rosharon, TX",45,3,8/28/2015,"OMG If I had not been sick I would have thought I was at an expense spa.  The minute I got there I was escorted into a clean beautiful exam room and treated with the kindness and respect.  The facility is top notch and very relaxing....so much so that I almost forgot that I was in an ER.  Everyone was kind and respectful.  They checked on me constantly and made sure to answer all my questions.  The service was quick but very comprehensive.  I totally recommend Signaturecare to everyone.  I promise you will not be disappointed.  They even followed up with me the next day to make sure I was feeling better.I live in Pearland but should I need an ER, I will make my way back to Signaturecare.",,,,,,,,,,
Abigail P.,"Museum District, Houston, TX",204,1,7/18/2017,I struggled with the billing system here but when I expressed my frustration I received immediate assistance from customer services that was considerate and helpful. My problem was resolved quickly and I am genuinely grateful for the assistance.,,,7/15/2017,"I had just moved to Houston and didn't have a general doctor to call, I had a UTI, told them this was the problem, they insisted on running tests and eventually agreed with me. My experience at this clinic was fine, the staff are friendly and the place is clean. What really dampened the experience was that they misguided me by saying that my insurance was accepted and then later billing me for the $1600 (the full cost of the visit). You would think that not only they would have told me that they did not actually work with my insurance and I would have to pay for the cost of the visit out of pocket, but also that they might charge less for such a quick visit, where the patient comes in already knowing what is wrong. I would not trust this clinic to be forthcoming with billing information, they added an unnecessary, large, layer of stress to a situation that is generally easy and cheap to resolve.",Read more,,,,,
Dre K.,"Houston, TX",81,15,8/5/2016,"Caring ,fast and efficient . Who ever likes going to the doctor's office? Definitely not me. If all visits were conducted in this manner. I wouldn't mind going at all. From the front desk to the doctor and nurse everyone was helpful , nice and friendly .",2,,,,,,,,,
Paula M.,"New York, NY",108,5,12/29/2016,"I had a great experience at this urgent care. The receptionist was very friendly and I was seen by the doctor soon after I arrived. Everyone who helped me was very pleasant, including the nurse, doctor and the X-ray technician. The doctor explained everything thoroughly and had me out the door with prescriptions in around 25 minutes. I would definitely recommend this location to everyone.",,,,,,,,,,
C M.,"Houston, TX",0,34,5/29/2017,"Professional, efficient, caring- the entire staff from receptionist to doctor.  Fully equipped with X-ray, ctscan, blood ab, And I appreciated the warm blanket too!  I work in a hospital and  expected the worst on a holiday weekend and got the best.",4,,,,,,,,,
Jayne N.,"Houston, TX",0,5,5/27/2017,"Went to this emergency center today due to numbness in legs and pain in my right side ovary. The process from check-in until release was so flawless. I have never been to a medical facility where so many of the medical staff were so friendly and attentive. They were all wonderful, Particularly Dr. Adam Boester, whose calm demeanor tremendously eased my panic mode. Dr. Boester thoroughly and patiently addressed each one of my concerns. (And there were many!) My exams were completed with care and diligence. Although it wasn't something serious, I thought it was and I'm glad I had somewhere to go to get all of the right tests to ease my mind. Thank you to all the kind staff and to Dr. Boester who went above and beyond to make sure I was comfortable, but most of all took the time to listen to me, which is what every doctor should aim to do more of, with regard to their patients. I'm so glad I decided to go to this emergency room. I had the most compassionate and thorough diagnosis and treatment than I have ever had at any doctors office.",,,,,,,,,,
Erika P.,"Houston, TX",0,6,3/19/2017,"Our 5 year old hurt her neck so we came to SignatureCare emergency center Montrose. They got us in a room and made our daughter, Kennedy feel safe and assured her not to be scared and that everything was going to be ok. They helped calm her down, which made the whole process of exams and xrays/ct's that much easier. As parents, they were very precise, detailed, professional, and very kind. They covered all the details very well and answered our questions thoroughly. I was very impressed by each staff member and left knowing if our family ever needed ER care, we would return here.",,,,,,,,,,
Andrea F.,"Honolulu, HI",0,2,5/30/2017,"I was visiting Houston from Austin for a short overnight stay. I woke up in the middle of the night with a headache and while rubbing my head- found a tick from what I assume was a recent camping trip. After freaking out, I called this clinic. They were helpful on the phone and I decided to head straight there. I was greeted by Sindy, who was very helpful and then taken back right away by RN- Christine. She performed an assessment and vitals right away and was very pleasant and knowledgeable. Dr. Zhen was just as pleasant and knowledgeable as well, and performed a thorough assessment. They treated me and gave me info on tick bites and helped ease my anxiety. Check out again with Sindy was very pleasant and she was very helpful and accommodating. I could not have asked for a better experience, and I am so glad that I chose this emergency clinic to go to and would highly recommend it to everyone!!",,,,,,,,,,
